timestamp,cost_eur,forced_kwh,smart_kwh,total_kwh,soc_kwh,isp,smart_triggered,month,strategy,date
2025-01-02 00:00:00,0.0,0.0,0.0,0.0,33.0,11.42,False,1,S8v2,2025-01-02
2025-01-02 00:15:00,0.0,0.0,0.0,0.0,33.0,11.77,False,1,S8v2,2025-01-02
2025-01-02 00:30:00,0.0,0.0,0.0,0.0,33.0,11.85,False,1,S8v2,2025-01-02
2025-01-02 00:45:00,-0.0157575,0.0,2.75,2.75,35.75,-5.73,True,1,S8v2,2025-01-02
2025-01-02 01:00:00,0.030717500000000002,0.0,2.75,2.75,38.5,11.17,True,1,S8v2,2025-01-02
2025-01-02 01:15:00,0.031817500000000006,0.0,2.75,2.75,41.25,11.57,True,1,S8v2,2025-01-02
2025-01-02 01:30:00,0.031817500000000006,0.0,2.75,2.75,44.0,11.57,True,1,S8v2,2025-01-02
2025-01-02 01:45:00,0.0339075,0.0,2.75,2.75,46.75,12.33,True,1,S8v2,2025-01-02
2025-01-02 02:00:00,0.0,0.0,0.0,0.0,46.75,10.5,False,1,S8v2,2025-01-02
2025-01-02 02:15:00,0.0275275,0.0,2.75,2.75,49.5,10.01,True,1,S8v2,2025-01-02
2025-01-02 02:30:00,0.0,0.0,0.0,0.0,49.5,10.14,False,1,S8v2,2025-01-02
2025-01-02 02:45:00,0.030855,0.0,2.75,2.75,52.25,11.22,True,1,S8v2,2025-01-02
2025-01-02 03:00:00,0.029315,0.0,2.75,2.75,55.0,10.66,True,1,S8v2,2025-01-02
2025-01-02 03:15:00,0.0,0.0,0.0,0.0,55.0,10.19,False,1,S8v2,2025-01-02
2025-01-02 03:30:00,0.0,0.0,0.0,0.0,55.0,11.17,False,1,S8v2,2025-01-02
2025-01-02 03:45:00,0.030744999999999998,0.0,2.75,2.75,57.75,11.18,True,1,S8v2,2025-01-02
2025-01-02 04:00:00,0.0,0.0,0.0,0.0,57.75,11.61,False,1,S8v2,2025-01-02
2025-01-02 04:15:00,0.0,0.0,0.0,0.0,57.75,12.92,False,1,S8v2,2025-01-02
2025-01-02 04:30:00,0.0,0.0,0.0,0.0,57.75,13.59,False,1,S8v2,2025-01-02
2025-01-02 04:45:00,0.0,0.0,0.0,0.0,57.75,13.93,False,1,S8v2,2025-01-02
2025-01-02 05:00:00,0.0,0.0,0.0,0.0,57.75,20.25,False,1,S8v2,2025-01-02
2025-01-02 05:15:00,0.0,0.0,0.0,0.0,57.75,28.11,False,1,S8v2,2025-01-02
2025-01-02 05:30:00,0.0,0.0,0.0,0.0,57.75,31.2,False,1,S8v2,2025-01-02
